Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.442,0.3093,0.1985,0.3093,0.3963,0.3975,0.2834,0.3975
2,0.3739,0.4514,0.304,0.3804,0.3439,0.5141,0.3886,0.4558
3,0.3349,0.5162,0.3695,0.4256,0.3199,0.5424,0.4324,0.4847
4,0.3145,0.5529,0.413,0.4575,0.3065,0.5594,0.4601,0.5034
5,0.3,0.5814,0.4464,0.4823,0.2977,0.5768,0.4844,0.5181
6,0.2903,0.5973,0.4721,0.5014,0.2908,0.5851,0.5017,0.5292
7,0.2813,0.6165,0.4931,0.5179,0.287,0.5821,0.5116,0.5368
8,0.2709,0.6293,0.5104,0.5318,0.2818,0.5947,0.5213,0.544
9,0.2619,0.6489,0.5258,0.5448,0.2796,0.5947,0.529,0.5497
10,0.2572,0.6599,0.5392,0.5563,0.277,0.6043,0.536,0.5551
11,0.2501,0.6697,0.551,0.5666,0.2756,0.6104,0.5425,0.5601
12,0.2436,0.6825,0.5618,0.5763,0.2746,0.6043,0.5469,0.5638
13,0.2376,0.6904,0.5715,0.5851,0.2742,0.6034,0.5509,0.5669
14,0.2314,0.7031,0.5807,0.5935,0.2739,0.6095,0.5545,0.5699
15,0.2226,0.72,0.5899,0.6019,0.2728,0.6147,0.5582,0.5729
16,0.2194,0.7257,0.5981,0.6097,0.2729,0.6138,0.5612,0.5755
17,0.2136,0.7392,0.6063,0.6173,0.2728,0.6108,0.5639,0.5775
18,0.2093,0.7448,0.6139,0.6244,0.274,0.6073,0.5661,0.5792
19,0.2028,0.7556,0.6213,0.6313,0.2742,0.6104,0.568,0.5808
20,0.1972,0.7684,0.6286,0.6381,0.2748,0.6147,0.57,0.5825
21,0.1913,0.7765,0.6356,0.6447,0.276,0.6091,0.5713,0.5838
22,0.1881,0.7834,0.6422,0.651,0.2746,0.6178,0.5732,0.5853
23,0.181,0.7905,0.6486,0.6571,0.2776,0.6138,0.5746,0.5866
24,0.1776,0.7987,0.6548,0.663,0.2788,0.6147,0.576,0.5877
25,0.1714,0.8131,0.6611,0.669,0.2806,0.6147,0.5772,0.5888
26,0.1663,0.8199,0.6672,0.6748,0.2813,0.6134,0.5783,0.5898
27,0.1624,0.8273,0.6731,0.6804,0.2838,0.6125,0.5793,0.5906
28,0.1592,0.8297,0.6786,0.6858,0.2858,0.6138,0.5802,0.5914
29,0.1545,0.839,0.6841,0.6911,0.2875,0.6195,0.5814,0.5924
30,0.1478,0.853,0.6898,0.6965,0.2889,0.613,0.5822,0.5931
