Epoch,Train Loss,Train Acc,Train F1 Macro,Train F1 Micro,Val Loss,Val Acc,Val F1 Macro,Val F1 Micro
1,0.4304,0.3114,0.2055,0.3114,0.3923,0.4001,0.2802,0.4001
2,0.3754,0.4256,0.2805,0.3685,0.3554,0.4889,0.3652,0.4445
3,0.3413,0.5202,0.3553,0.4191,0.3275,0.5586,0.4342,0.4825
4,0.316,0.5721,0.4087,0.4573,0.3098,0.5786,0.4691,0.5065
5,0.3002,0.5939,0.445,0.4846,0.2959,0.5921,0.4914,0.5236
6,0.2854,0.6187,0.4728,0.507,0.2859,0.5951,0.5056,0.5356
7,0.2734,0.6381,0.4953,0.5257,0.2773,0.6182,0.5199,0.5474
8,0.2625,0.6546,0.5144,0.5418,0.2706,0.6295,0.5322,0.5576
9,0.2524,0.6694,0.5309,0.556,0.2665,0.6256,0.5413,0.5652
10,0.2456,0.6877,0.5459,0.5692,0.2612,0.6382,0.55,0.5725
11,0.2362,0.7015,0.5596,0.5812,0.2589,0.6408,0.5572,0.5787
12,0.2295,0.7124,0.5718,0.5921,0.2567,0.6482,0.5638,0.5845
13,0.2234,0.7233,0.583,0.6022,0.2545,0.6561,0.5703,0.59
14,0.2166,0.7367,0.5936,0.6118,0.254,0.6569,0.5756,0.5948
15,0.2107,0.7444,0.6033,0.6207,0.2511,0.6591,0.5805,0.5991
16,0.2028,0.7589,0.6128,0.6293,0.2512,0.663,0.585,0.6031
17,0.1987,0.7639,0.6215,0.6372,0.2508,0.6639,0.5889,0.6066
18,0.193,0.7786,0.63,0.6451,0.2501,0.6643,0.5925,0.6099
19,0.1855,0.7883,0.6381,0.6526,0.2472,0.6661,0.596,0.6128
20,0.1806,0.7957,0.6458,0.6598,0.2481,0.6639,0.599,0.6154
21,0.1757,0.8035,0.6532,0.6666,0.2485,0.6731,0.6021,0.6181
22,0.1702,0.8141,0.6604,0.6733,0.2461,0.6726,0.6049,0.6206
23,0.1652,0.8226,0.6673,0.6798,0.2478,0.6657,0.6072,0.6226
24,0.1597,0.8293,0.674,0.6861,0.2477,0.6674,0.6092,0.6244
25,0.1561,0.8347,0.6804,0.692,0.2485,0.6674,0.6112,0.6261
26,0.151,0.845,0.6866,0.6979,0.2519,0.6678,0.6128,0.6277
27,0.1457,0.8556,0.6929,0.7037,0.2489,0.6752,0.6148,0.6295
28,0.1393,0.8619,0.6988,0.7094,0.25,0.677,0.6167,0.6312
29,0.1365,0.8667,0.7046,0.7148,0.2505,0.6691,0.6182,0.6325
30,0.1318,0.8713,0.7101,0.72,0.2521,0.6726,0.6197,0.6338
